NCESID,Count_311_Calls
00925671,10
BB061156,9
A9300691,11
00925106,4
00925037,4
00925875,53
A9702456,22
00924951,5
00925128,2
00938465,17
00925117,10
00925423,0
00925092,27
00924882,8
A9903217,11
00941445,10
00941434,16
00925321,7
00939924,3
00938454,16
00924893,2
A9903219,26
02047943,0
00925048,7
00925015,3
00937133,17
02047717,25
00925274,6
A9104866,7
00925809,4
00925853,4
00926507,25
00925081,0
A0508005,5
01607454,0
00941219,20
00925343,6
A0502554,0
00925354,18
00925547,10
A0701697,27
00925558,7
A0107707,2
00935872,11
A0502612,30
00938578,5
A0701654,7
00943894,23
00944253,13
A0740096,5
00925467,15
00925707,4
00935373,2
00925831,5
00936446,17
AA001198,5
00940237,5
00920301,2
00941161,16
00920232,28
00943409,18
A9104729,39
02047954,6
00920378,9
A0107565,7
A0107740,7
A9903226,21
A0502483,17
00920334,10
A9104961,19
00919817,12
A9105127,5
A9300668,25
A9503007,19
A9903264,2
BB021440,9
BB041319,10
A9105054,14
BB041283,10
A0107885,42
BB061153,8
BB081365,8
00941296,70
BB081373,5
00939979,30
BB081378,1
BB081386,0
02047353,42
BB912051,32
00920822,6
BB964143,1
A9702472,5
00919941,9
00919486,8
K9304081,1
A9104755,32
00922954,5
A0701578,6
00919544,27
00920028,30
A9702381,15
A9104709,23
A0502391,28
A9104737,27
A0302253,24
A9300689,0
00940612,13
AA001442,18
BB940470,3
BB963938,2
00925412,36
00938931,6
00925649,15
00925445,6
A9104970,8
00925842,9
A9104867,6
00925503,16
00925729,12
A9903263,5
BB000826,52
00925762,8
00935781,28
01657916,22
00939061,31
A9903289,7
00942041,6
02048029,0
00920287,15
00920254,4
00919293,18
00920276,9
00920265,0
00920221,5
00922852,6
00922025,16
A9105062,48
00922965,3
00941456,12
00937701,21
00922579,6
00919599,45
00944107,21
00921848,18
00936027,19
00936956,47
00937927,18
00939618,48
01607476,17
02047207,0
A0302291,8
A0302301,18
A0502492,16
A0502577,44
A0701603,14
A0701621,22
A9303747,63
A9303881,40
A9903185,40
AA001646,31
A0107526,36
A0502504,26
A0502592,14
A0701711,24
00925296,20
00925525,26
A0740102,24
A9303704,15
A9903261,29
A9503028,16
X0935282,61
00943996,11
00937891,28
A9105045,40
00925387,4
00922783,26
A9105034,19
BB964100,7
A9104797,16
A9104974,27
A9104937,8
00922433,50
A9105018,12
00920061,15
BB964072,8
00924871,17
00939174,61
BB912059,6
00926347,7
A0302186,27
A9903229,9
K9303955,14
00924984,25
00925059,64
00920119,6
00940587,0
A9105003,7
00940565,39
00925536,12
A9303745,7
00926267,2
BB964055,2
00920108,26
00925456,1
00943158,9
A9702510,15
00942052,20
A9903249,9
00935362,3
BB912090,4
00938261,21
00937304,12
00925434,27
A9105048,55
00926336,0
00925897,19
00941092,71
00925911,19
00925241,6
00925172,3
00939389,45
00925569,32
A9105016,4
A9104674,64
00925682,7
01607487,68
00920083,57
00919613,21
00939152,39
00935216,14
00919227,40
A9104809,20
00944093,32
00921928,14
02047364,18
00935963,6
A0502613,66
00920833,26
00922455,7
00922477,1
00921859,19
00941183,30
00941729,49
A9702470,45
01607319,15
A0107837,23
00938283,41
X0939378,54
A9502997,26
00939695,0
00939833,53
00919588,50
00939651,21
00920811,38
00922422,9
A0740098,4
A0502465,42
A9502938,13
00936355,8
K9303936,40
00919453,17
00919828,17
02161995,28
00936537,48
00940022,9
00920017,19
00922466,15
00919169,28
00921779,64
00942697,28
A0740101,7
00939684,37
00925489,6
A0701617,0
00921633,5
00921622,23
00921564,32
00923164,8
00921553,4
A9104949,10
00921407,4
00921484,26
00920946,6
00922207,27
00922218,12
00920968,9
00921575,16
A9300660,0
A0502542,23
00921371,19
00936672,4
00921611,5
00921586,35
00920935,10
00921644,2
A9702478,5
00921349,10
00922273,12
A9702471,29
00921542,8
00923051,17
00920902,19
A0302248,6
00919238,6
00940918,5
00919158,17
00922692,17
00919475,1
00922648,2
00920094,1
00919602,0
00922138,3
00920888,4
00923062,6
00944173,8
00919373,10
00920855,1
00922251,3
00939276,8
01657789,12
A0701725,6
AA890650,0
A0108089,19
A0302251,8
A9104921,3
00921826,7
00922513,0
00938512,24
00919533,18
00921473,35
AA001686,8
00935919,5
01607352,1
00922171,3
00921462,8
00922659,0
00922681,21
00919522,6
00922502,4
00919249,6
00921597,5
X0921451,2
00942948,23
00939196,10
A0108071,9
BB041308,6
00921393,6
A0902362,25
A0902400,14
00926325,5
00919566,25
00922604,9
00938272,56
00939072,65
00935861,17
00936413,0
00942438,9
00919511,22
00919883,1
00921382,9
00921917,30
A0971529,12
A9903238,3
A0701608,73
A0107872,27
A9300626,5
A0971586,6
00939094,31
00942722,11
A0701599,32
A0740097,5
A0502407,23
A0902348,0
00919952,27
00920006,15
00920196,6
00920243,22
BB101113,0
A0302300,22
00939141,14
A9104665,34
A9903146,5
AA890707,22
BB041276,5
K9304074,4
A0902269,5
A0902283,12
A0902318,7
A0107548,29
A0902279,28
A9104914,10
A0508010,7
BB041309,20
BB081358,33
A0302227,15
BB041277,5
BB061148,43
BB940557,17
BB121674,4
BB121683,0
BB121726,9
BB121733,1
BB121736,3
BB121753,13
BB121759,5
BB121760,8
BB121761,4
BB121767,0
BB121771,5
BB121798,19
BB121817,30
BB121823,13
BB121826,61
A1101658,33
A1101620,44
A1101659,1
A1101734,27
A9104815,23
A1101662,11
A0902294,21
00920141,14
00942201,28
A1101740,41
A1101741,5
A0302232,15
A1101669,4
00926234,3
00920185,6
A0107611,22
A1101674,4
A1101685,12
00940703,9
A1101695,2
A1101696,0
K9303939,51
A1101700,16
A1101628,5
A1101630,8
A1101633,15
00939491,0
BB964126,20
BB041325,5
A0971574,5
00925751,14
00941048,30
A1101649,9
00937075,29
A1101713,11
00919872,12
00925208,39
00919125,12
00935227,24
A1140017,16
00922546,7
A1101726,19
00938374,53
A1101727,55
A1140018,4
A1101730,11
00939629,47
A1101731,14
360007705566,38
360009101955,15
360009104483,17
360009105697,8
360009105812,13
