Census_Track,Total,No_schooling_completed,Nursery_school,Kindergarten,grade1,grade2,grad3,grade4,grade5,grade6,grade7,grade8,grade9,grade10,grade11,grade12_no_diploma,Regular_high_school_diploma,GED_or_alternative_credential,Some_college_lessthan1year,"Some_college,_1ormoreyears_nodegree",Associates_degree,Bachelors_degree,Masters_degree,Professional_school_degree,Doctorate_degree
36005000100,5388,0.01800297,0,0,0.005753526,0.001113586,0.001113586,0.005196733,0.010207869,0.01484781,0.012991834,0.035634744,0.070155902,0.113585746,0.179472903,0.159242762,0.112100965,0.110059391,0.014105419,0.094654788,0.017074981,0.015775798,0.006124722,0,0.002783964
36005000200,3373,0.026682479,0,0,0,0.003557664,0.010376519,0,0.022531871,0.019863623,0.0074118,0.017491847,0.016898903,0.051289653,0.027571894,0.044470798,0.265638897,0.067595612,0.018084791,0.156240735,0.097539283,0.123925289,0.022828343,0,0
36005000400,3800,0.005,0,0,0.002105263,0.002105263,0.007631579,0,0,0.017631579,0.001578947,0.007894737,0.019473684,0.039210526,0.030789474,0.013947368,0.182105263,0.018157895,0.047105263,0.182368421,0.138947368,0.178157895,0.098947368,0.004736842,0.002105263
36005001600,3551,0.047592228,0,0,0,0.002252887,0.002252887,0.014080541,0.028442692,0.018586314,0.012109265,0.028161081,0.044494509,0.043649676,0.055758941,0.032385244,0.230920867,0.063925655,0.023655308,0.157420445,0.050126725,0.100535061,0.033511687,0.010137989,0
36005001900,1642,0.018879415,0,0,0,0,0.009744214,0.009744214,0.003045067,0.047503045,0.004872107,0.015834348,0.048721072,0.023751523,0.06090134,0.021924482,0.212545676,0.06455542,0.036540804,0.180267966,0.056029233,0.132155907,0.039585871,0.009744214,0.00365408
36005002000,5488,0.023141399,0,0,0,0,0.025510204,0,0.016034985,0.030247813,0.022048105,0.043549563,0.046282799,0.054300292,0.02696793,0.026239067,0.297011662,0.035167638,0.021683673,0.098578717,0.091836735,0.103498542,0.035714286,0,0.002186589
36005002300,2865,0.060034904,0,0.005235602,0,0.019197208,0.015357766,0.013961606,0.007678883,0.032111693,0.039092496,0.04921466,0.035602094,0.086561955,0.039092496,0.036300175,0.294938918,0.036300175,0.032111693,0.122513089,0.037347295,0.030366492,0.00034904,0.004886562,0.001745201
36005002400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36005002500,2880,0.029513889,0,0,0,0.015277778,0,0.019791667,0.026388889,0.061805556,0.037152778,0.067708333,0.096527778,0.054166667,0.046527778,0.032291667,0.206944444,0.064930556,0.046527778,0.1125,0.023611111,0.044791667,0.007291667,0.00625,0
36005002701,1642,0.082825822,0,0,0,0.018879415,0.019488429,0.006090134,0.024360536,0.054811206,0.037149817,0.004872107,0.045066991,0.068818514,0.112667479,0.012180268,0.246650426,0.037149817,0.029841657,0.109622412,0.02862363,0.02862363,0.018879415,0,0.013398295
