Census_Track,Total_Households,Mean_Inc_All_Households,Per_Capita_Inc_Total,Mean_Per_Capita_Inc_Total,Per_Capita_Inc_White,Mean_Per_Capita_Inc_White,Per_Capita_Inc_Black,Mean_Per_Capita_Inc_Black,Per_Capita_Inc_Asian,Mean_Per_Capita_Inc_Asian,Per_Capita_Inc_Hispanic,Mean_Per_Capita_Inc_Hispanic
36005000100,0,,8430,3327,14,4552,57.5,3106,2,186,34.9,3352
36005000200,1379,75015,5095,22971,31.5,26579,27.9,25987,6.5,17198,68.8,21343
36005000400,1819,82734,5572,29803,30,26459,35.8,34057,0.6,55228,63.4,27025
36005001600,1912,48959,5412,18544,34.3,16753,33.4,22435,0,,68.3,16256
36005001900,834,43615,2569,16168,32.2,15960,31.7,19399,1.5,14908,58.7,11241
36005002000,2980,37102,8959,14052,20.7,11855,44.8,16746,3.2,13373,58.8,13623
36005002300,1883,22840,4860,9724,16,9316,48.7,8872,0,,61.4,10464
36005002400,0,,0,,,,,,,,,
36005002500,1794,27588,5143,10549,27.1,14452,19.9,9645,5.7,5746,78.1,10884
36005002701,1086,25649,3172,9575,22.1,11936,42.4,8967,0,,67.6,9747
36005002702,1333,27016,4683,8545,21.6,9111,33.1,7882,0,,71.6,8522
36005002800,2336,60200,5746,26234,3.3,25011,76.7,26989,1.1,,25,24794
36005003100,509,51424,1538,18562,28.5,24425,34.2,17134,3.1,5746,68.1,20177
36005003300,1166,26619,3852,8682,26.5,9930,40,7210,0,,70.1,9248
36005003500,1309,29571,3753,11085,9.9,20332,31,10367,0,,72.5,12018
36005003700,96,20484,199,10142,25.1,3106,20.6,20659,0,,60.3,9300
36005003800,369,65599,1303,21272,20.7,26766,47.1,16689,1.3,,50.3,20781
36005003900,1945,43800,6580,14767,26.2,18064,21.7,18195,1.2,56981,78.3,11580
36005004001,503,67630,1550,23570,24.4,22303,21.3,44460,23.9,11644,29.5,27817
36005004100,2018,32402,6483,11837,27.5,11299,31.9,7175,0.2,,77.1,13143
36005004200,2719,32506,7599,12418,21.2,9824,55.6,13727,1.1,8162,47.9,10337
36005004300,1923,34288,5841,12133,13.5,15747,30.2,11533,0,,76.8,10833
36005004400,1670,34327,4830,13272,12.5,11936,40,13722,5.3,33216,59.6,11143
36005004600,686,49636,1659,22433,26.2,12825,38.6,28361,0,,61.4,19215
36005004800,1234,34844,4024,12138,13.7,14066,21.7,12416,4,8434,75.1,12643
36005005001,1456,43009,5040,14314,9.8,14027,46.1,16765,0.4,,58.4,11948
36005005002,1752,40508,5791,13955,18.1,17672,20.1,14639,2.8,7543,74.6,13429
36005005100,1957,29000,5814,11227,13,12838,38.3,11189,0.2,,68.1,10832
36005005200,766,41521,2128,16865,17.4,12761,26.5,20767,2.5,10732,71.6,19485
36005005300,1302,23193,3305,9762,4.5,12213,55.2,10002,0,,43,8662
36005005400,1729,49125,6334,15802,15.6,15995,27.1,18058,2.3,24182,71.9,14932
36005005600,884,37601,2391,15638,15.7,13884,25.5,21231,1.9,15336,69.4,13549
36005005902,1077,48306,2856,19521,15.9,18561,31.9,28333,0,,71.2,13976
36005006000,314,53265,1192,16133,12.1,29856,18.9,12740,0.6,,82.7,14730
36005006100,2191,53014,4007,30547,4.4,38569,84.7,30879,0,,13.4,29321
36005006200,2388,34114,7682,11609,8.7,16609,38.9,10934,0.2,,70.7,11509
36005006300,1829,42773,4480,18802,28.8,15449,27,30089,8.9,15237,64.6,14820
36005006400,1238,44298,3565,17330,18.4,16591,34.8,25018,6.1,6206,53.7,14284
36005006500,1905,28832,5847,10379,13.1,15029,37.7,10563,0.7,47677,58.6,9003
36005006700,2337,30919,7782,10380,13,13021,38,11024,0.2,,66,9620
36005006800,931,44064,2976,15307,11.4,21208,36.4,14983,4.1,17117,55.2,15943
36005006900,2592,35001,7769,12454,10.1,22943,45.3,12004,1.5,7176,58.5,11736
36005007000,1302,44886,4646,13983,20.2,15570,25.1,14507,9.2,15039,62.3,13555
36005007100,744,49882,2358,17464,12.9,21999,45.4,18349,0.2,,60.7,17123
36005007200,1726,55634,5981,17169,16.1,22993,17.6,20691,19.7,11864,55.3,18068
36005007300,1332,30302,3735,11644,8.8,8577,37.3,14117,0,,66,11461
36005007400,1383,55143,3724,21499,26,20724,29.5,31934,0.2,,70.1,16722
36005007500,1863,32429,4932,13286,13.2,14669,42.6,14211,0,,63.6,13651
36005007600,1624,57104,5853,17857,21,16742,23,17228,7.4,16272,66,18301
36005007700,602,41020,1904,14122,11.5,15150,27.5,13402,0,,71.6,13968
36005007800,2004,45122,6868,14309,18.3,12663,23.5,15341,9.4,13705,63.5,13186
36005007900,2282,31569,6099,12931,18,20596,32.2,10684,0,,75,13408
36005008300,2063,30884,5974,11320,10.4,18611,29.5,8788,0.1,,81.9,11171
36005008400,704,74134,2447,23131,14.9,38092,38.9,21842,1.3,13347,62.2,21904
36005008500,1727,39263,6324,12386,11.7,20122,22.2,12310,1,20862,79.5,11895
36005008600,1385,32139,3916,12430,29.1,14887,31.2,10596,3,11041,69.1,13387
36005008700,1845,40211,6406,13657,15,14478,23.8,14855,0,,77.6,13558
36005008900,1189,27722,3540,10388,18.1,12951,24.2,6539,0.3,20300,80.5,11791
36005009000,1162,54100,3824,18341,34.7,17625,35.6,19209,4,37408,65.2,15110
36005009200,1728,54099,5397,18648,16.7,23210,13.5,20525,14.9,21186,63.6,17090
36005009300,1627,36278,6265,11698,23.8,11020,28.6,12482,0,,71.6,11047
36005009600,727,49543,2557,15302,14.9,22687,18.7,10735,17.6,9422,58.5,19014
36005009800,1683,66147,4922,23870,34.4,21177,29.5,22370,2.9,27371,69.2,22537
36005011000,71,54576,205,19153,0,,0,,0,,100,19153
36005011502,1378,29644,4446,9934,25.3,11201,36.9,10626,0.9,4363,68.7,9809
36005011700,583,38531,1512,16164,26.9,14613,34,19326,1.3,,70.3,14412
36005011800,1573,92884,5328,29573,84.4,29612,2,7281,4.4,30838,15.4,32048
36005011900,1909,38564,5570,13949,11.1,9160,36,19197,0.3,,67.3,10807
36005012101,843,37373,3014,11550,13.8,11731,27.9,14885,2.7,11558,73.1,11062
36005012102,508,23972,1485,9206,14.6,14324,18.6,11871,0.7,,83,8775
36005012300,1386,30575,4144,10889,6.2,8253,32.2,14915,0.7,12538,67.3,8550
36005012500,1318,41696,4139,13947,11.4,24573,33,19337,0.2,,64.7,10278
36005012701,772,28850,2117,11929,19.4,17530,27.4,12585,2.3,6040,75.9,12256
36005012901,1336,26792,3828,10095,9.3,10787,46.1,11572,4.6,10456,57,9064
36005013000,475,89412,1334,34590,75.9,39600,4.3,22162,0,,38.5,26380
36005013100,1636,40464,4906,14571,9.7,18191,30,15617,1,950,68.8,14324
36005013200,2518,95785,7150,36102,48.3,42831,11.4,22866,6.3,40671,50.4,35441
36005013300,2224,39436,7067,14034,5.6,13798,39.3,15025,0.7,,63.1,12658
36005013500,1236,35049,3957,12345,9.1,18090,37,13998,0,,66.2,11799
36005013800,1250,89148,3301,36098,73.9,39032,5.8,37768,3.3,20827,24.9,25235
36005014100,1729,54680,4620,21685,22.4,38554,39.4,19680,1.3,7680,61.9,23062
36005014300,402,21120,942,10627,15.4,14752,44.9,11429,4.2,4905,42.6,8982
36005014400,2111,38574,6062,14312,22.6,23804,39.2,11304,0.9,18764,60.6,16206
36005014500,2110,27048,6757,9178,8.3,11820,44.1,8309,0.1,,54.6,9750
36005014701,2032,28013,7209,8885,11.4,10220,52.2,8558,0.1,,50.6,9143
36005014702,1555,20739,5089,6816,6.3,9185,53.5,6343,0,,47.9,7422
36005014900,1422,32309,4531,11460,8.1,11770,41,14319,0.1,,58.8,10102
36005015100,1792,43510,5662,14677,11.3,8044,44.4,16549,0,,57.2,13443
36005015200,892,70616,2960,23486,42.3,31038,15.1,19124,5.4,24862,55,21581
36005015300,1415,35712,4471,12035,12.7,13046,45,13983,0.8,35014,56.7,10307
36005015500,1060,32029,3058,11933,16.3,12600,25,17664,0.9,22177,75.9,10173
36005015700,1218,39278,3761,14486,7.2,12927,38.1,20350,0.4,,61.7,10853
36005015800,444,76361,1233,30651,60.3,37590,10.5,11991,2.9,14989,40.4,38071
36005015900,658,31639,1845,12528,19.6,13994,7.5,13562,0.3,,95.9,12526
36005016000,1583,96470,4429,36695,82.9,37296,0.5,,1.9,25938,23.4,38239
36005016100,1711,26144,4130,11627,10.9,13858,28.8,17633,0.8,971,72.9,9403
36005016200,572,75599,1989,24165,64.2,29010,6.6,13355,0.6,,42.9,24219
36005016300,0,,77,7262,0,,49.4,8503,0,,50.6,6056
36005016400,380,81857,907,35904,76.2,42036,7.9,8283,0,,35.9,31821
36005016500,376,37930,1296,12387,4.6,8761,58.9,9887,0.8,,58.4,13277
36005016600,773,96672,2292,33440,51.2,31859,7.7,36863,9.7,18100,47.9,39644
36005016700,754,33871,2433,11477,8.6,10758,61,11274,0,,38.3,13106
36005016900,468,40857,1498,15751,8.6,8605,58.5,19132,0,,44.2,11311
36005017100,0,,1,,0,,100,,0,,0,
36005017300,2276,31896,6697,11649,21.3,14969,29.1,11115,3,6716,67,12127
36005017500,2453,38358,7021,14152,8.8,13976,43,12665,0,,63.3,13122
36005017701,1270,33418,4459,11709,8.3,7864,21.6,14422,0.2,,76.4,11262
36005017702,1662,34640,5456,11364,12.4,5520,33.6,16078,1.3,14659,67.8,9130
36005017901,1652,33099,4711,12628,9.8,14506,34.6,11032,1.5,14133,75,13212
36005017902,1101,31293,3618,10431,10.9,9377,39.2,9646,0,,57.9,11172
36005018101,981,36165,2946,14125,12.3,7813,54.8,13945,0,,48.2,14494
36005018102,1608,43923,5862,13371,13.4,19943,38.5,12591,3.9,9103,54.2,12202
36005018301,1887,44328,4241,21106,15.2,20132,48.9,25171,3.7,5097,54.2,16294
36005018302,1254,45239,3934,15947,14.4,14239,27.3,25192,2.3,17928,69.1,12336
36005018400,1448,83943,3928,33666,67.5,36791,5,27499,1.9,18693,37.9,25845
36005018500,2455,31430,6904,12293,7,8490,45.9,14189,0,,52.5,10613
36005018900,2789,31712,8389,11787,20.1,10149,28,16740,0.9,11182,73.5,9201
36005019300,1964,39359,5301,16586,15.3,4467,45,24819,0.3,,58.2,17498
36005019400,734,71325,2282,24396,35.2,32063,10.7,22568,1.7,49068,60,18083
36005019500,2623,39534,7593,15076,13.9,10795,34.3,16751,1.3,10858,68.9,13886
36005019700,2120,28205,7084,9166,13.3,7611,33.1,10519,5.7,6232,65.2,8838
36005019900,2644,34195,7635,12303,12.2,13572,33.7,16137,0,,65,10172
36005020000,1525,53088,4672,18297,22.5,22064,6.7,28160,24.9,10991,55.7,20704
36005020100,1327,40575,4292,13795,15.9,8012,33.1,14151,0.6,35554,68.4,13606
36005020200,825,55227,2240,21843,18.3,28341,13.2,26676,21.4,23699,58.2,19851
36005020400,1002,61109,3210,20342,20.4,19635,17.1,23697,17.7,24374,63.6,18205
36005020501,2609,33840,6568,14256,8.7,14431,37.2,15040,0,,70.1,13467
36005020502,839,38495,2077,16318,15.5,11624,40.7,19311,0,,51.7,16006
36005020601,906,67038,2758,24066,18.5,23426,13.8,32246,29.8,24746,49,21690
36005020900,1565,39463,4519,14991,10.8,10863,27.8,16162,2.1,11075,69.8,14185
36005021001,3778,55134,9094,24470,6.8,25505,59.4,28350,4.3,8600,35.2,17196
36005021002,2981,57140,6081,29189,8.4,25214,63.7,33195,10.2,11908,22.6,26371
36005021100,1853,32147,5721,11244,13,11145,46,11400,0.2,,58,10737
36005021200,2164,56321,5169,25009,10.5,37979,41.2,24787,21.7,14465,32.8,32213
36005021301,424,36659,1101,14865,11,20881,23.1,16339,0,,79.6,12687
36005021302,1947,37314,6250,12508,11.5,16723,46.4,13748,0.9,13473,58.7,10842
36005021501,1221,37870,4317,11695,11.6,11782,26.2,12387,2.9,11418,72.3,11835
36005021502,2104,29546,6110,11207,9.4,13369,27.6,15081,0,,69.7,9607
36005021601,1528,37545,3970,15468,23.6,16744,22.8,17016,4,9228,66.3,13807
36005021602,2452,49786,6059,21041,17.5,21018,43.5,28255,20.3,10491,37.1,18087
36005021700,1591,31579,5093,11437,10.1,6720,43.9,14079,0,,55,9545
