NCESID,ID2,Geography,Estimate__RACE___Total_population,Estimate__RACE___One_race___White,Estimate__RACE___One_race___Black_or_African_American,Estimate__RACE___One_race___Asian,Estimate__RACE___One_race___Some_other_race,Estimate__HISPANIC_OR_LATINO_AND_RACE___Total_population___Hispa,Estimate__HISPANIC_OR_LATINO_AND_RACE___Total_population___Not_H
360010202416,36081004300,"Census Tract 43, Queens County, New York",2380,784,889,59,473,1190,1190
360095706068,36081004300,"Census Tract 43, Queens County, New York",2380,784,889,59,473,1190,1190
360010202309,36081003900,"Census Tract 39, Queens County, New York",1574,890,119,168,356,891,683
360012200249,36081077908,"Census Tract 779.08, Queens County, New York",4101,1326,899,1242,285,671,3430
360012200954,36081077908,"Census Tract 779.08, Queens County, New York",4101,1326,899,1242,285,671,3430
360012302392,36081100801,"Census Tract 1008.01, Queens County, New York",2307,1253,897,10,52,380,1927
360009802464,36081023500,"Census Tract 235, Queens County, New York",8577,4328,159,2782,1136,4834,3743
360010004611,36081024000,"Census Tract 240, Queens County, New York",6132,1059,1086,1049,2647,3148,2984
360010202077,36081025100,"Census Tract 251, Queens County, New York",5560,2650,15,1972,852,1921,3639
360101806192,36081097204,"Census Tract 972.04, Queens County, New York",3530,699,2333,78,249,693,2837
360012302704,36081003800,"Census Tract 38, Queens County, New York",2586,914,159,607,732,1538,1048
360012302273,36081004200,"Census Tract 42, Queens County, New York",5005,1210,264,2295,969,1888,3117
360009102781,36047021100,"Census Tract 211, Kings County, New York",1254,315,678,92,147,336,918
360012202664,36081102900,"Census Tract 1029, Queens County, New York",3699,2715,67,695,171,805,2894
360010003176,36081025800,"Census Tract 258, Queens County, New York",2004,77,1724,138,59,146,1858
360010002181,36081026000,"Census Tract 260, Queens County, New York",2795,122,1937,182,549,615,2180
360012202639,36081104700,"Census Tract 1047, Queens County, New York",6740,3950,47,2189,271,941,5799
360012202109,36081104700,"Census Tract 1047, Queens County, New York",6740,3950,47,2189,271,941,5799
360012305728,36081103202,"Census Tract 1032.02, Queens County, New York",7099,3841,2182,58,776,2347,4752
360011805732,36081103202,"Census Tract 1032.02, Queens County, New York",7099,3841,2182,58,776,2347,4752
360012301972,36081103202,"Census Tract 1032.02, Queens County, New York",7099,3841,2182,58,776,2347,4752
360012306104,36081103202,"Census Tract 1032.02, Queens County, New York",7099,3841,2182,58,776,2347,4752
360011903074,36047048500,"Census Tract 485, Kings County, New York",3241,1980,222,122,770,1461,1780
360011905929,36047048500,"Census Tract 485, Kings County, New York",3241,1980,222,122,770,1461,1780
360011903091,36047048500,"Census Tract 485, Kings County, New York",3241,1980,222,122,770,1461,1780
360011905702,36047048500,"Census Tract 485, Kings County, New York",3241,1980,222,122,770,1461,1780
360011903078,36047048500,"Census Tract 485, Kings County, New York",3241,1980,222,122,770,1461,1780
360011902533,36047048500,"Census Tract 485, Kings County, New York",3241,1980,222,122,770,1461,1780
360011902668,36047048500,"Census Tract 485, Kings County, New York",3241,1980,222,122,770,1461,1780
360012202314,36081103900,"Census Tract 1039, Queens County, New York",6865,4962,0,1670,221,1038,5827
360010205288,36081027900,"Census Tract 279, Queens County, New York",6016,3491,189,786,1360,4038,1978
360010202536,36081027300,"Census Tract 273, Queens County, New York",8114,5575,325,694,1168,6691,1423
360010206186,36081027300,"Census Tract 273, Queens County, New York",8114,5575,325,694,1168,6691,1423
360009802343,36081027100,"Census Tract 271, Queens County, New York",8706,2987,250,3911,1041,3867,4839
360010002510,36081027800,"Census Tract 278, Queens County, New York",2557,161,1997,0,255,593,1964
360010005534,36081027800,"Census Tract 278, Queens County, New York",2557,161,1997,0,255,593,1964
360103406224,36081028400,"Census Tract 284, Queens County, New York",4143,106,3519,0,473,387,3756
360015302665,36047062000,"Census Tract 620, Kings County, New York",2102,2078,0,24,0,36,2066
360012202661,36081098700,"Census Tract 987, Queens County, New York",2577,2148,46,334,32,316,2261
360012202476,36081094500,"Census Tract 945, Queens County, New York",3939,2558,43,699,579,1142,2797
360012302190,36081096400,"Census Tract 964, Queens County, New York",4085,737,2462,149,509,945,3140
360017005867,36047123700,"Census Tract 1237, Kings County, New York",6370,5207,223,32,816,1042,5328
360011902565,36047123700,"Census Tract 1237, Kings County, New York",6370,5207,223,32,816,1042,5328
360009902571,36081109900,"Census Tract 1099, Queens County, New York",3994,2301,130,1241,142,1039,2955
360012202148,36081114100,"Census Tract 1141, Queens County, New York",2176,1424,28,613,72,162,2014
360012205869,36081113900,"Census Tract 1139, Queens County, New York",3580,2101,38,1195,144,507,3073
360012201969,36081113900,"Census Tract 1139, Queens County, New York",3580,2101,38,1195,144,507,3073
360009902183,36081109700,"Census Tract 1097, Queens County, New York",1678,1176,33,333,126,257,1421
360009901917,36081109700,"Census Tract 1097, Queens County, New York",1678,1176,33,333,126,257,1421
360012302398,36081099200,"Census Tract 992, Queens County, New York",3983,1039,2371,6,391,1154,2829
360010202287,36081028700,"Census Tract 287, Queens County, New York",6099,4060,148,1546,187,2488,3611
