NCESID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,ENROLLMENT,START_GRAD,END_GRADE,FULL_TIME_
BB963781,LITTLE ANGEL DAYCARE CENTER #3,12 CROWN ST,BROOKLYN,NY,11225,NOT AVAILABLE,7,1,10,KINGS,36047,US,40.667364,-73.960357,8,PK,KG,2
BB963874,LITTLE FLOWER PREPARATORY,305 REMSEN AVE,BROOKLYN,NY,11212,NOT AVAILABLE,1,1,103,KINGS,36047,US,40.657674,-73.924981,95,PK,07,8
BB981088,YESHIVA BETH HILLEL OF KRASNA,1364 42ND ST 66,BROOKLYN,NY,11219,NOT AVAILABLE,1,1,455,KINGS,36047,US,40.637846,-73.98653,401,PK,07,54
A0107454,BROOKLYN AMITY SCHOOL,3867 SHORE PKWY,BROOKLYN,NY,11235,NOT AVAILABLE,1,1,259,KINGS,36047,US,40.620394,-73.935455,235,PK,12,24
A0107582,HANNAH SENESH COMMUNITY DAY SCHOOL,342 SMITH ST,BROOKLYN,NY,11231,NOT AVAILABLE,1,1,196,KINGS,36047,US,40.679616,-73.995553,170,KG,08,26
A0107874,SHEMA KOLAINU-HEAR OUR VOICES,4302 NEW UTRECHT AVE,BROOKLYN,NY,11219,NOT AVAILABLE,4,1,32,KINGS,36047,US,40.641768,-73.994502,24,PK,PK,8
A0107913,THE STERLING SCHOOL,299 PACIFIC ST STE A,BROOKLYN,NY,11201,NOT AVAILABLE,4,1,30,KINGS,36047,US,40.687758,-73.988615,22,03,06,8
A0107936,TALMUD TORAH TASHBAR,543 BEDFORD AVE,BROOKLYN,NY,11211,NOT AVAILABLE,1,1,294,KINGS,36047,US,40.665661,-73.890195,270,PK,10,24
A0302188,BNOT RACHEL HIGH SCHOOL FOR GIRLS,1950 E 7TH ST,BROOKLYN,NY,11223,NOT AVAILABLE,1,1,91,KINGS,36047,US,40.603043,-73.965241,79,08,12,12
BB061130,OUR LADY OF GRACE SCHOOL,385 AVENUE W,BROOKLYN,NY,11223,NOT AVAILABLE,1,1,252,KINGS,36047,US,40.593117,-73.968397,242,PK,08,10
A0302206,BONIM LAMOKOM,425 E 9TH ST,BROOKLYN,NY,11218,NOT AVAILABLE,4,1,30,KINGS,36047,US,40.638162,-73.969393,24,UG,UG,6
00925671,ST CAMILLUS SCHOOL,185 BEACH 99TH ST,ROCKAWAY PARK,NY,11694,NOT AVAILABLE,1,1,190,QUEENS,36081,US,40.583796,-73.820278,179,KG,08,11
A0302209,BLOCK INSTITUTE SCHOOL,376 BAY 44TH ST,BROOKLYN,NY,11214,NOT AVAILABLE,4,1,306,KINGS,36047,US,40.587852,-73.993892,280,PK,02,26
01607578,ST EDMUND ELEMENTARY SCHOOL,1902 AVENUE T,BROOKLYN,NY,11229,NOT AVAILABLE,1,1,246,KINGS,36047,US,40.601351,-73.952693,233,PK,08,13
BB061156,ST FRANCIS DE SALES SCHOOL,219 BEACH 129TH ST,BELLE HARBOR,NY,11694,NOT AVAILABLE,1,1,485,QUEENS,36081,US,40.576628,-73.848673,460,PK,08,25
