NCESID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,ENROLLMENT,START_GRAD,END_GRADE,FULL_TIME_
360007705566,INDEPENDENCE HIGH SCHOOL,850 10TH AVE,NEW YORK,NY,10019,(212) 262-8067,4,1,414,NEW YORK COUNTY,36061,US,40.767973,-73.98893,392,10,12,22
360009101955,GEORGE WESTINGHOUSE CAREER AND TECHNICAL ED HIGH S,105 JOHNSON ST,BROOKLYN,NY,11201,(718) 625-6130,3,1,968,KINGS COUNTY,36047,US,40.695512,-73.985643,919,09,12,49
360009104483,MS 266 PARK PLACE COMMUNITY MIDDLE SCHOOL,62 PARK PLACE,BROOKLYN,NY,11217,(718) 857-2291,1,1,202,KINGS COUNTY,36047,US,40.678775,-73.976476,189,06,08,13
360009105697,MS 571,80 UNDERHILL AVE,BROOKLYN,NY,11238,(718) 638-1740,1,1,96,KINGS COUNTY,36047,US,40.678416,-73.965987,88,06,08,8
360009105812,THE URBAN ASSEMBLY SCHOOL OF MUSIC AND ART AT WATE,49 FLATBUSH AVE EXT,BROOKLYN,NY,11201,(718) 858-0249,1,1,457,KINGS COUNTY,36047,US,40.697374,-73.984724,431,09,12,26
360009105901,URBAN ASSEMBLY ACADEMY OF ARTS AND LETTERS,225 ADELPHI ST,BROOKLYN,NY,11205,(718) 222-1605,1,1,451,KINGS COUNTY,36047,US,40.69102,-73.971163,424,KG,08,27
360009105962,"BROOKLYN COMMUNITY HIGH SCH COMMUNICATION, ARTS AN",300 WILLOUGHBY AVE,BROOKLYN,NY,11205,(718) 230-5748,1,1,490,KINGS COUNTY,36047,US,40.692476,-73.958343,460,09,12,30
360009105968,KNOWLEDGE AND POWER PREPARATORY VII MIDDLE SCHOOL,300 WILLOUGHBY AVE,BROOKLYN,NY,11205,(718) 230-3273,1,1,167,KINGS COUNTY,36047,US,40.692472,-73.958345,154,06,08,13
360009204889,SECONDARY SCHOOL FOR LAW,237 7TH AVE,BROOKLYN,NY,11215,(718) 832-4250,1,1,506,KINGS COUNTY,36047,US,40.669514,-73.97903,473,07,12,33
360009602429,PS 115 DANIEL MUCATEL SCHOOL,1500 EAST 92ND ST,BROOKLYN,NY,11236,(718) 241-1000,1,1,1330,KINGS COUNTY,36047,US,40.634975,-73.89803,1259,PK,05,71
360009605957,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,5800 TILDEN AVE,BROOKLYN,NY,11203,(718) 629-1204,1,1,315,KINGS COUNTY,36047,US,40.648174,-73.922284,294,09,12,21
360009605959,ARTS AND MEDIA PREPARATORY ACADEMY,905 WINTHROP ST,BROOKLYN,NY,11203,(718) 773-3908,1,1,311,KINGS COUNTY,36047,US,40.658706,-73.928704,293,09,12,18
