OBJECTID_1,FID_1,NCESID,NAME,ADDRESS,CITY,COUNTY,STATE,ZIP,TELEPHONE,NAICS_CODE,NAICS_DESC,LEVEL_,TYPE,STATUS,POPULATION,ENROLLMENT,FULL_TIME_,START_GRAD,END_GRADE,precinct
1,57189,360007702877,STUYVESANT HIGH SCHOOL,345 CHAMBERS ST,NEW YORK,NEW YORK COUNTY,NY,10282,(212) 312-4800,611110,Elementary and Secondary Schools,High,1,1,3449,3297,152,09,12,1
2,57192,360007703331,IS 289,201 WARREN ST,NEW YORK,NEW YORK COUNTY,NY,10282,(212) 571-9268,611110,Elementary and Secondary Schools,Middle,1,1,313,292,21,06,08,1
3,57194,360007704356,PS 234 INDEPENDENCE SCHOOL,292 GREENWICH ST,NEW YORK,NEW YORK COUNTY,NY,10007,(212) 233-6034,611110,Elementary and Secondary Schools,Primary,1,1,879,827,52,KG,05,1
4,57202,360007705085,MILLENNIUM HIGH SCHOOL,75 BROAD ST,NEW YORK,NEW YORK COUNTY,NY,10004,(212) 825-9008,611110,Elementary and Secondary Schools,High,1,1,664,626,38,09,12,1
5,57442,360007700595,UNITY CENTER FOR URBAN TECHNOLOGIES,111 EAST 33RD ST,NEW YORK,NEW YORK COUNTY,NY,10016,(212) 576-0500,611110,Elementary and Secondary Schools,High,1,1,251,237,14,09,12,1
6,57445,360007700692,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,90 TRINITY PLACE,NEW YORK,NEW YORK COUNTY,NY,10006,(212) 346-0007,611110,Elementary and Secondary Schools,High,1,1,641,608,33,09,12,1
7,57458,360007701934,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,131 AVE OF THE AMERICAS,NEW YORK,NEW YORK COUNTY,NY,10013,(212) 925-1080,611110,Elementary and Secondary Schools,High,3,1,496,465,31,09,12,1
8,57477,360007702540,PS 150,334 GREENWICH ST,NEW YORK,NEW YORK COUNTY,NY,10028,(212) 732-4392,611110,Elementary and Secondary Schools,Primary,1,1,196,186,10,PK,05,1
9,57748,360005304411,JOHN V LINDSAY WILDCAT ACADEMY CHARTER SCHOOL,17 BATTERY PLACE,NEW YORK,NEW YORK COUNTY,NY,10004,(212) 209-6036,611110,Elementary and Secondary Schools,High,1,1,500,476,24,09,12,1
10,57779,360007700700,HIGH SCHOOL OF ECONOMICS AND FINANCE,100 TRINITY PLACE,NEW YORK,NEW YORK COUNTY,NY,10006,(212) 346-0708,611110,Elementary and Secondary Schools,High,1,1,845,806,39,09,12,1
