NCESID,TOTAL_ACCIDENTS,TOTAL_INJURIES,ON_STR_TOP50,CROSS_STR_TOP50
360007705566,20,6,6,14
360009101955,13,1,0,0
360009104483,5,2,3,2
360009105697,7,2,0,0
360009105812,15,2,0,0
360009105901,2,0,0,0
360009105962,6,2,0,0
360009105968,6,2,0,0
360009204889,15,0,7,8
360009602429,2,0,0,0
360009605957,2,1,0,0
360009605959,6,1,0,0
360009605960,6,1,0,0
360009605961,0,0,0,0
360009605967,0,0,0,0
360009702334,12,1,0,0
360009702582,2,0,0,2
360009205498,0,0,0,0
360009205529,15,0,7,8
360009402163,1,1,0,0
360009404053,8,2,0,0
360009405518,3,1,0,0
360009405927,8,6,0,0
360009500882,12,2,7,5
360009502631,0,0,0,0
360009502763,8,3,0,0
360009505514,3,1,0,1
360009505523,3,1,0,1
360009505709,9,1,0,0
360009505712,3,1,0,1
360009505714,0,0,0,0
360009505818,5,1,0,0
360009505819,16,7,0,0
360011405700,14,0,0,0
360011902412,7,0,0,0
360011903074,0,0,0,0
360011905699,3,0,0,0
360011905701,7,3,6,1
360011905703,3,0,0,0
360011905813,7,2,0,0
360011905816,7,2,0,0
360009602427,3,0,0,0
360012002572,12,4,0,0
360012002720,7,1,0,0
360012002776,5,1,0,0
360011905896,0,0,0,0
360011905929,9,8,5,0
360012001941,2,0,0,0
360009705552,4,0,0,0
360012002787,3,1,0,0
360004504493,0,0,0,0
360004604487,0,0,0,0
360009100847,6,2,0,0
360009102784,0,0,0,0
360009102793,20,4,7,12
360009105508,9,2,5,4
360009105694,2,1,0,0
360009201377,4,2,0,0
360009202041,4,0,1,3
360009202088,0,0,0,0
360009202325,0,0,0,0
360009203389,15,3,0,0
360009204811,2,0,0,0
360009204890,4,2,0,0
360015102396,0,0,0,0
360009205501,0,0,0,0
360015102618,4,0,0,0
360009205706,14,1,7,7
360015102625,5,0,0,0
360009205864,2,0,0,0
360012105237,9,1,0,0
360009404059,5,0,0,0
360009405707,13,3,0,0
360012105722,9,0,0,0
360009405904,7,4,0,0
360012105724,21,5,9,6
360009501344,0,0,0,0
360015102657,10,1,1,0
360009502504,0,0,0,0
360015102692,10,1,0,0
360009502576,0,0,0,0
360015102729,15,2,0,0
360009502596,42,17,28,10
360015102738,8,0,0,0
360009502756,0,0,0,0
360015105227,6,0,1,5
360009504883,11,3,0,0
360015105955,15,2,0,0
360009505510,9,1,0,0
360015300800,6,4,0,0
360009505515,9,1,0,0
360015300829,18,6,13,5
360009505516,0,0,0,0
360015300871,0,0,0,0
360009505710,9,1,0,0
360015302012,4,1,0,0
360009505713,3,1,0,1
360015302032,27,12,19,7
360009105695,3,0,0,0
360009105698,11,7,0,1
360015302230,4,1,4,0
360009105811,0,0,0,0
360015302443,0,0,0,0
360009505715,0,0,0,0
360009202173,8,4,0,0
360015304885,10,2,9,10
360009202251,2,0,0,0
360015705846,12,2,6,6
360009202481,0,0,0,0
360016605902,4,0,0,0
360009202482,22,3,0,0
360017005867,1,0,0,0
360009202993,0,0,0,0
360009602750,9,5,0,0
360009605506,0,0,0,0
360009204497,0,0,0,0
360009605956,0,0,0,0
360009205513,14,1,7,7
360009605958,11,7,3,2
360009402054,14,4,0,0
360009605964,2,1,0,0
360009402123,2,0,0,0
360009605965,6,1,0,0
